´Á¼Æ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
115012554,1,,,4,,,7,,,,,,,,,,,18,,,,,23,24,25,26,,,,,,,,34,,,,,,,,,,,,,,48,,50,,52,,,,,,,,,,,,64,,,67,68,,70,71,,73,,,,77,,,80
115012553,,2,,,,,,,9,10,11,12,,,,16,,,,,,,,,25,,,,29,,31,,,34,,,,,,40,,,,,,,,48,49,50,,52,,,,,,58,,,,,63,,,,,68,,,,,,,75,76,,,,
115012552,1,2,,,,,,,,,,12,,,,16,,,,20,21,22,,,25,,,,,,,,,,,,,,39,,,,,44,,46,,48,,50,,52,,,,,,58,,,61,,,,,,,68,,70,71,,,,,,,,79,
115012551,,,,,,6,7,8,,,,,,,,,17,,19,20,,,,24,,,,28,,,,,,34,,,,,,40,,,,,45,,47,48,49,50,51,,,,55,,,,,,61,,63,,,,,,,,,,,,,76,,,,
115012550,,,,,,,,8,,10,,,13,,,,17,18,,,21,,,,,26,,,,,,,,,,,,,,40,,,,44,,46,,48,,,,,,,,56,,,,,,,,64,,66,,68,,,71,,,,,,77,78,79,80
115012549,1,,,,,,,8,,,11,,,14,,,17,,,,,,23,,25,26,27,,,,,,,,,,,,,40,41,,,,,,,48,,,51,,,,,,,58,59,60,,62,,,,,,,69,70,,,,,,,,,,80
115012548,,2,,,,,,,,,11,,,,15,,,,,,,,,24,,,27,,,30,31,,,,35,,37,,,,,,,,,,47,48,,,,,,,,,57,,59,,61,,63,,,,67,68,,,,72,,,,,77,78,,
115012547,,,,,,6,7,,,,11,,13,14,,16,17,,,,,22,,,,,,28,,,,32,,,35,,,,,,,42,,44,,46,,,,,,,,,,,,,,60,,62,,64,65,,,,,70,,,,,,,,78,,
115012546,1,,,,,6,,,,,,12,,,,16,,18,,20,21,,,,,,,,,,,,,,,,37,38,,,,42,,,,46,,,,,,,53,,55,,,58,59,60,,,,64,,66,,,,,71,,,,75,,,,,
115012545,,,,,,,,,9,,,12,,,,,,,,,,,,24,25,,,28,,,,,,34,35,36,37,,,,,,,,,,47,,49,,51,,,54,,56,,58,,,,62,63,,,66,,,,,,,,74,,76,,,,
115012544,,,,,5,6,,,,,,,,,,16,17,,,,21,,23,,,,,,,,,,,,,,,,,,,42,43,,45,46,47,,,50,51,,,,55,,,,,,,,,64,65,66,,,69,,,72,,,,76,,,,
115012543,,,,4,,,,,,,11,,,,,16,,,19,,21,,,,,,,,,30,,,33,,,,,,,,,42,43,,45,46,,,,,,,53,,,,,,,,,,,64,,,67,,,,,,73,74,75,,77,78,,80
115012542,1,,,,,,,,,,,,,,15,,,18,19,,,,23,24,,,,,,,,32,,,,36,,,,40,,,43,44,,,,,49,,,,,54,,,,58,,60,,,,64,65,66,,,,,,,,,75,,,,,80
115012541,,,3,,,,,,,,,12,13,,,,,,,,,,,,25,26,,,,30,31,,,34,,,37,38,39,,,,,44,,46,,,49,,,,,,,,,,59,,,,,64,,,,,,,,,,74,75,,,,79,80
115012540,,,,4,,,7,8,9,,11,12,,,,16,,18,,,,,,,,,27,,29,,,,,,,,,38,,,,,,,,,,48,,,,52,,,,56,,,,60,61,,,,65,,,,,,,,,74,,,77,78,,
115012539,,2,,,,,,,,,11,,,,,,,18,,,,22,,24,,26,,,29,30,,,33,,35,,,,,,,,,,,46,47,,,,,,,,,,,,,,,,63,,,,67,68,69,,,72,,74,,,77,78,,
115012538,1,,,4,,6,,,9,,,12,,,,,,,,20,,,,,25,,,,,30,,,,34,,36,,,,,,42,,,45,46,,48,,50,,52,,,,56,,58,,,61,,,,,,,,,,,,,,,,,,,80
115012537,1,,,,,,,,,,,,,,,16,17,,,,21,,,,25,,,,,,,,33,34,,,,,39,,41,,43,,,,,,,50,,,,54,,,57,,59,,61,,,,65,66,,,,,,,,,,,77,,79,80
115012536,,2,,4,,6,,,,10,,,13,,,,,,,,,22,,,,26,,,,,,,33,,,36,,,,40,41,42,,,,,,,49,,51,,,,,,57,58,59,,,,,64,,,,,,,,,,,,76,,,79,
115012535,,2,,,5,,7,,,,,,,,,,,,,,,,,,,,27,,,,31,32,,,35,36,,,,,,,,,45,,,,49,,,,,54,,56,,58,59,60,61,,,,,66,67,68,69,,,,,,,,,,,
115012534,1,,,,,6,7,,,,,,13,14,,16,,18,,,,,,24,,,27,28,,,,,,34,,,,,,40,,,,,,,,,,,,52,53,,,,,58,,,61,,,64,,,67,,69,,,,,,,,,78,,
115012533,,,,,,6,7,8,9,,,,,,,16,,18,,,,,23,,,,,,,30,,32,,34,,,,38,39,,,,,,,46,,,49,50,,,,54,,,,,,60,,,63,,,,67,,,,,,,,,,,,79,
115012532,,,,4,,,,,,,,,,,,,17,18,19,,,,23,,25,,,,,,31,,,34,,,,,39,,,42,,,,,47,48,,,,52,,54,,56,57,,,,,,,,,,,,,,,72,73,74,,,,,79,
115012531,1,,,,,,,,,,,,13,,15,,17,,19,,,,,,,,27,28,,30,,32,,,,,,38,,,,,,,,,47,,49,,,52,,,,56,,,,,,,63,,,,,68,,,,,73,74,,,,,79,80
115012530,,,,,5,,7,8,9,,,,,,,,,,,,,,,,,26,,,,30,,32,,,,,,,,,,,,,45,,,,,,51,52,,,55,56,,,,60,,,,,,,67,68,,,71,72,,,,,77,,79,80
115012529,,2,,,,,7,,,,,,,14,,,17,,,20,21,,,24,25,,,,29,,,,,,,,37,,,40,,,,,45,46,,,,50,,,,54,,,,,59,,,,,,,,,,69,,,,,74,,,77,,79,
115012528,,,,,,,,8,,,,,13,14,,,17,,19,,,,,,,,,,,30,31,,,,,,,,39,,,42,,,,46,,,49,,,,,54,55,,57,,,60,,62,,,65,,,,69,,,72,,,,,,,79,
115012527,,,3,,5,,,8,,,,,,,,16,,18,19,20,21,22,,24,,,,,,,31,,,,35,,,,,,,42,43,,45,,47,48,,,,52,,,55,,,,,,,,,,,,,,,,,,,74,,,,,,
115012526,,,,,5,6,7,,9,10,11,,,14,15,,,,,20,,22,,,,,,,,,,,,,,,,,,,,,43,,,,47,,,50,,,,54,,56,,58,59,,,,,,,66,,,,,,72,,,,76,,,,
115012525,,2,,,,6,,8,,,,,,,,,,,19,,,,,,,,,,,,,,33,,,,37,38,,,41,42,,,,,,,49,50,,,,54,,56,,,,,,,63,,,66,,,69,,,,73,74,75,,77,,,
115012524,1,,,,5,,,,,10,,,,,15,,,18,,,,22,,,,,27,,29,,,,,34,,36,,,,40,,,,44,,,,,49,50,,,,54,,56,,,59,,,62,63,,,66,,,,,,,,,,,,,,
115012523,,,,,,,7,,,,,,,,,,,18,19,20,21,22,,,,,27,,,,,,,,,,37,,39,,,,43,44,,,,,49,,,52,53,,,,,,59,,61,,63,,,,,,,,71,,73,,,,,78,,
115012522,1,,,,,6,,,9,,,,,,,,17,,19,,21,,23,,,,27,28,,,,,,,35,36,,,39,,,,,,45,,47,48,,,51,,,,,,,,59,,,,63,64,,,,,,,,,,,,76,,,,
115012521,1,,3,,,6,7,,,,,12,13,,,,,,,,,22,,24,25,,,,,30,,,33,,,,,,,,,,,,,,,48,49,,,,,,,,,58,,,,62,63,,,,,68,69,,,72,,,,,,,79,
115012520,,2,,,,,7,,,,,,,,,,,,,,,22,23,24,,,,,,,,,,34,,,37,,,,41,,,44,,,,,49,,51,,53,,,,57,,59,60,,,,,,66,,,69,70,,72,,,,,,,79,
115012519,,,3,,5,6,7,,,,,,,,,,,,,20,,22,,,,,,,,,,,33,,35,,37,,,,41,,,,45,,,,,,,52,53,,,,57,,59,,,62,,,,,,,69,70,,,,,,,,78,,80
115012518,1,,3,,,,,8,,,,12,13,,15,,,,19,,,,,,25,26,,,,30,,32,,,,,37,,,,41,,,44,45,,,,,,,,,54,,,,,,,,62,,64,,66,,,,70,,,,,,,,,,
115012517,,,,,,,7,,,,,,,,,,,18,,,,22,,24,25,26,,,,30,,32,,34,,36,,,39,,41,,43,44,,,47,,,,51,,,,,,,,,,61,,63,,,,67,,,,,,,,,,,78,,
115012516,1,,3,,5,,7,,,,,,13,,,,,,,,,,23,24,,,,,,,31,32,33,,,,,,,40,,,,,,46,,,,,51,,,54,55,,,,59,,,,,64,,,,,,,71,72,,,,,,,79,
115012515,,,3,,5,,,,9,,,,,,15,,17,,,,21,,,24,,,27,,,,,32,,,,,37,,,,,42,,,,,,,,,51,,,,,56,,58,,,,62,,,,,67,,,,,72,,,,,,78,79,80
115012514,,,,,,,,,9,10,11,12,,,,,,,,,,,,,25,,27,,29,,,,,,,,,,,,41,42,43,,45,,,,49,,,,,,,,,,59,,,62,63,,65,66,,68,,70,,,,,,,,78,,
115012513,,,,,,6,,,,10,,,,14,,,17,18,,20,,,,,,,27,,,,,,33,,,,37,,,,,,,,,46,,48,49,,,,53,,55,,,,,60,,,,,,,67,,69,,71,,73,,75,,,,,
115012512,,,,,,6,,,9,,11,,,,,,,,19,,,,23,,,,27,,,30,,,33,,,,,,,,,,,44,,,,,,50,51,,,54,,56,,,,,,62,,,,,67,,69,,71,,,74,,76,,,,80
115012511,,,,,5,,,8,,10,,,,14,,16,,,,20,,,,,,,,28,,,31,,33,34,35,36,,38,39,,,,,,,,,,,,,,,54,,,57,,,,61,,,,,,,,69,,,,73,74,,,,,,
115012510,,,,4,,6,7,,,10,,12,,14,,,17,,,20,,,,24,,,,,,,,,,,,,37,,,,,,43,,45,,,48,,50,51,,,,,,,,59,,,,,,65,,67,,,70,,,,,,,,,79,
115012509,1,2,,,,,,,9,,11,12,,,,,,,,,,,23,,25,,,28,,,,,,,,,,,,,,,,,,,47,,,,51,,53,,55,,,,,,61,,,64,,66,67,68,,70,,,73,,,,,78,,
115012508,,2,,,5,,,,,,11,12,,,15,16,,,,,,,,24,,,,28,,,,,,,,,,,,,,,,44,,,,48,,50,,52,53,,,56,,,,,,62,,64,,,,68,,,71,72,,,,,,,,80
115012507,,2,,4,,,,,,,,,,14,,,,,,,,,,24,,,27,,,30,,,,34,35,36,,,39,,41,,,44,,,,,,,51,,,54,,56,57,,,,61,62,,,65,,,,69,,,,,,,,,,,
115012506,,,,,,,7,,,,,,,14,,,,,19,,,,23,,,,27,,,,31,,,,,36,,,39,,,42,,,,,47,,49,,,52,,54,,56,,58,59,,,,,,,,67,,,,,,73,,,76,,,79,
115012505,,,,4,,6,,,,,,,13,,,16,,,,,,,23,24,,,,,29,,,32,,,35,,,,39,40,41,,,,,,,,49,50,,52,,,,,,58,59,,,62,,,,,,68,,,,,,,75,,,,,
115012504,,2,3,4,,,,,,,,,,14,,16,,,,20,21,,23,,,26,,,,,,,,34,,,,,,,,,43,44,,,,,49,,,,53,54,,,,,,,,,,64,65,,67,,69,,,,73,,,,,,,
115012503,,,,,,,7,,9,,11,,13,,,16,,,,20,,,,,,26,,28,29,,,,,,35,,37,38,,,,,,,,46,,,,,,,,,,,,,,,,,,64,65,,,,,,,,,,,76,77,78,79,80
115012502,,,,,,,,,,10,11,,,,,16,,18,19,,21,22,,,,26,,28,,,,,33,,35,,37,,,,,42,43,44,,,,,,,,,,54,,,,58,,,,,,64,,,,,,,,,,,75,,,,79,
115012501,,2,3,,,6,,,9,,11,,,,,,,,,20,,,,,,,27,,,,31,,,,35,36,37,38,,40,41,,,,,,,,,,,,,,,,,,,60,61,,,,65,66,,68,,,71,,,,,,,,,
115012500,1,2,,,,,7,,9,,,,13,,,,17,,19,,,22,23,,,,,,,,,32,33,34,35,36,,,39,,,42,,44,,,,48,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,80
115012499,,,,,,,,,,,,,13,,,,,18,19,,21,,,,,26,,,29,,31,,33,,35,36,37,38,39,,,,,,45,,,,,50,,,,,,,57,,59,,,,,,65,,,,,70,,,,,,,,,,80
115012498,,,,4,,,7,,,,,,,14,,,17,18,19,,,,,,,26,,,,30,,,,,,36,37,,,,,,,,,,,,,,,,53,54,,,57,,,60,,,63,,,66,67,,,,71,,,,,76,,78,,
115012497,,,,,,,7,,,,,12,,,,16,17,18,19,,21,,,,,,,,,30,,,,,,36,,,39,,41,,,44,,,47,,49,,,,,,,,57,58,,,,,,,,,,68,,,71,,,,,76,77,,,
115012496,,2,,,,,,,,,,,13,14,,,,,,,,,,24,25,26,,,29,30,,,,,,36,,,,40,,,,,45,46,47,,,,,,,,55,56,,,,,,,63,64,,66,,,,,,,,,75,76,,,,
115012495,,,,,,6,,,,10,11,,13,,15,,,18,,,,22,23,,,,,,29,,31,,,,,,,,,,,42,43,44,45,,,,,,,,53,,55,,,,59,,,,,,,,,,,,,72,,,75,,,,,80
